Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
COUP,138.44,2022/01/14,16:00 EST,-3.0,140.57,143.11,135.28,1239132,,,,,,,
FUTU,45.51,2022/01/14,16:00 EST,1.4599991,44.44,46.55,44.32,3465685,,,,,,,
ADBE,520.6,2022/01/14,16:00 EST,3.6999512,514.49,522.47,511.27,2544952,,,,,,,
DV,25.77,2022/01/14,16:00 EST,-0.84000015,26.24,27.0,25.29,602804,,,,,,,
WRBY,34.27,2022/01/14,16:00 EST,-1.2099991,34.88,35.29,32.95,1862955,,,,,,,
PATH,36.73,2022/01/14,16:00 EST,-0.88000107,37.64,38.54,35.6108,4882050,,,,,,,
HOOD,15.17,2022/01/14,16:00 EST,-0.13000011,15.09,15.7287,14.73,16623592,,,,,,,
SPOT,218.56,2022/01/14,16:00 EST,-7.8899994,223.91,226.399,213.74,1550147,,,,,,,
ESTC,94.54,2022/01/14,16:00 EST,-3.3300018,96.625,100.39,93.66,2720272,,,,,,,
COIN,230.03,2022/01/14,16:00 EST,1.800003,226.62,232.0,222.32,4281239,,,,,,,
BABA,131.57,2022/01/14,16:00 EST,0.2000122,132.81,134.36,129.35,18239581,,,,,,,
PTON,31.33,2022/01/14,16:00 EST,-0.8200016,31.0,32.3203,30.35,21129059,,,,,,,
NFLX,525.69,2022/01/14,16:00 EST,6.48999,517.6,538.37,511.88,7695899,,,,,,,
DDOG,138.28,2022/01/14,16:00 EST,3.149994,135.34,139.725,132.65,4265142,,,,,,,
PCOR,67.98,2022/01/14,16:00 EST,-2.2199936,69.09,71.84,66.31,621658,,,,,,,
UBER,41.51,2022/01/14,16:00 EST,-1.3600006,42.4,42.72,40.355,25624623,,,,,,,
TEAM,297.39,2022/01/14,16:00 EST,-1.2599792,319.85,302.61,284.53,4025985,,,,,,,
WDAY,254.31,2022/01/14,16:00 EST,4.899994,249.83,255.07,248.1,2070471,,,,,,,
RNG,176.61,2022/01/14,16:00 EST,-3.9299927,180.47,182.04,172.18,1068117,,,,,,,
TDG,645.38,2022/01/14,16:00 EST,-5.2199707,644.43,647.13,633.715,267304,,,,,,,
SHOP,1102.91,2022/01/14,16:00 EST,38.55005,1053.0,1111.98,1048.601,2157721,,,,,,,
ZM,159.72,2022/01/14,16:00 EST,-2.380005,161.42,164.89,156.88,4693883,,,,,,,
PDD,60.41,2022/01/14,16:00 EST,2.790001,58.88,61.77,58.6401,6665338,,,,,,,
RBLX,79.05,2022/01/14,16:01 EST,-1.1299973,79.35,81.74,77.42,16599626,,,,,,,
NOW,531.02,2022/01/14,16:00 EST,9.76001,521.26,538.54,514.66,3221787,,,,,,,
APO,68.83,2022/01/14,16:00 EST,-0.7200012,68.68,68.97,67.1,4909738,,,,,,,
SNOW,289.59,2022/01/14,16:00 EST,-2.1700134,287.69,297.38,283.121,2876610,,,,,,,
FB,331.9,2022/01/14,16:00 EST,5.419983,321.79,332.73,321.21,16326957,,,,,,,
CRWD,176.7,2022/01/14,16:00 EST,1.800003,173.87,181.42,172.17,4669945,,,,,,,
CVNA,156.39,2022/01/14,16:00 EST,-6.6100006,160.61,165.5,147.67,6264033,,,,,,,
AMZN,3242.76,2022/01/14,16:00 EST,18.47998,3203.0,3244.9778,3196.01,2235601,,,,,,,
DOCU,130.44,2022/01/14,16:00 EST,-0.1499939,128.3,133.46,127.1,3907168,,,,,,,
DASH,131.53,2022/01/14,16:00 EST,-0.25,130.87,134.54,127.83,3424086,,,,,,,
SE,175.03,2022/01/14,16:00 EST,-5.5200043,179.57,183.7137,170.03,7641262,,,,,,,
JD,73.72,2022/01/14,16:00 EST,2.2799988,73.9,74.015,71.93,12147225,,,,,,,
MSFT,310.2,2022/01/14,16:00 EST,5.4000244,304.25,310.8,303.75,39005261,,,,,,,
